name,createdAt,pushedAt,stargazers,pullRequests,releases,primaryLanguage,open_issues,closed_issues
freeCodeCamp,2014-12-24T17:49:19Z,2022-03-06T16:44:07Z,341661,16802,0,JavaScript,130,15698
996.ICU,2019-03-26T07:31:14Z,2022-03-03T19:07:06Z,261233,1063,0,None,0,0
free-programming-books,2013-10-11T06:50:37Z,2022-03-06T20:22:11Z,224427,4320,0,None,25,670
coding-interview-university,2016-06-06T02:34:12Z,2022-03-06T19:38:54Z,211847,284,0,None,37,288
vue,2013-07-29T03:24:51Z,2022-03-04T10:03:31Z,193728,1071,210,JavaScript,327,9363
awesome,2014-07-11T13:42:37Z,2022-03-06T17:01:13Z,192101,568,0,None,21,280
developer-roadmap,2017-03-15T13:45:52Z,2022-03-06T16:05:05Z,188134,219,0,TypeScript,97,485
react,2013-05-24T16:15:54Z,2022-03-06T20:20:50Z,183740,8131,96,JavaScript,724,10456
public-apis,2016-03-20T23:49:42Z,2022-03-06T10:46:28Z,183674,1859,0,Python,3,359
system-design-primer,2017-02-26T16:15:28Z,2022-03-04T17:57:43Z,165484,190,0,Python,147,63
tensorflow,2015-11-07T01:19:20Z,2022-03-06T21:41:20Z,163355,14212,158,C++,2342,31841
bootstrap,2011-07-29T21:19:00Z,2022-03-06T22:50:51Z,155742,7455,76,JavaScript,312,20793
You-Dont-Know-JS,2013-11-16T02:37:24Z,2022-02-17T18:32:38Z,150388,351,0,None,85,806
CS-Notes,2018-02-13T14:56:24Z,2022-03-01T03:16:50Z,147289,375,0,None,103,436
ohmyzsh,2009-08-28T18:15:37Z,2022-03-06T01:52:39Z,141659,2652,0,Shell,176,3923
flutter,2015-03-06T22:54:58Z,2022-03-06T23:45:21Z,137175,23827,0,Dart,10325,55381
javascript-algorithms,2018-03-24T07:47:04Z,2022-03-06T19:45:58Z,136503,266,0,JavaScript,96,185
build-your-own-x,2018-05-09T12:03:18Z,2022-03-02T14:53:09Z,134129,86,0,None,142,326
Python,2016-07-16T09:44:01Z,2022-03-02T21:43:57Z,131006,1811,0,Python,32,914
gitignore,2010-11-08T20:17:14Z,2022-03-06T14:23:37Z,130317,1520,0,None,0,0
